Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
81.  ;Igrzyska śmierci;Collins Susan;2011;351;fantastyka młodzieżowa;;;;;
84.  ;Cukiernia pod pierożkiem z wiśniami;Compton Clare;2007;278;literatura dziecięca;;;;;
85.  ;7 nawyków skutecznego nastolatka;Covey Sean;2011;323;inne;;;;;
86.  ;Podróże furmana Szejtroczka i O gajowym Chrobotku;Ctvrtek Vaclav;2006;228;literatura dziecięca;;;;;
87.  ;Język francuski dla dzieci;Czechowska Barbara;1975;270;inne;;;;;
88.  ;Charlie i fabryka czekolady;Dahl Roald;2004;187;literatura dziecięca;;;;;
89.  ;Matylda;Dahl Roald;2006;141;literatura dziecięca;;;;;
90.  ;Szkoła strachu;Daneshvari Gitty;2010;324;literatura dziecięca;;;;;
91.  ;Szkoła strachu, tom 2, Jeszcze nie koniec lekcji ;Daneshvari Gitty;2012;271;literatura dziecięca;;;;;
92.  ;Więzień labiryntu;Dashner James;2014;421;fantastyka młodzieżowa;;;;;
93.  ;Serce;de Amicis Edmund;2006;257;literatura dziecięca;;;;;
94.  ;Tobi;De Fombelle Timothee;2008;311;fantastyka dziecięca;;;;;
95.  ;Tobi, tom 2, Oczy Eliszy;De Fombelle Timothee;2009;338;fantastyka dziecięca;;;;;
96.  ;Mały książę;De Saint-Exupery Antoine;1988;83;literatura piękna;;;;;
97.  ;Moje drzewko pomarańczowe;de Vascondelos Jose Mauro;2006;164;literatura dziecięca;;;;;
98.  ;Strrraszna historia, Ci niewiarygodni Inkowie;Deary Terry;2011;127;literatura dziecięca;;;;;
99.  ;Strażnicy historii, tom 1, Nadciąga burza;Dibben Damian;2012;328;fantastyka młodzieżowa;;;;;
100.  ;Strażnicy historii, tom 2, Circus maximus;Dibben Damian;2013;332;fantastyka młodzieżowa;;;;;
101.  ;Strażnicy historii, tom 3, Chiński ekspres;Dibben Damian;2014;303;fantastyka młodzieżowa;;;;;
102.  ;Człowiek z wysokego zamku;Dick Philip K.;2017;330;fantastyka naukowa;;;;;
104.  ;Studium w szkarłacie;Doyle Arthur Conan;2013;178;kryminał;;;;;
103.  ;Księga wszystkich dokonań Sherlocka Holmesa;Doyle Arthur Conan;2014;1119;kryminał;;;;;
105.  ;Kot Prot;Dr. Seuss;2003;77;literatura dziecięca;;;;;
109.  ;Słoń, który wysiedział jajko;Dr. Seuss;2003;63;literatura dziecięca;;;;;
106.  ;Kot Prot znów gotów do psot!;Dr. Seuss;2004;79;literatura dziecięca;;;;;
107.  ;Kto zje zielone jajka sadzone?;Dr. Seuss;2004;71;literatura dziecięca;;;;;
108.  ;Na każde pytanie odpowie czytanie!;Dr. Seuss;2005;45;literatura dziecięca;;;;;
110.  ;Ocalona;Duncan Alexandra;2014;478;fantastyka młodzieżowa;;;;;
111.  ;Imię róży;Eco Umberto;2006;497;literatura piękna;;;;;
112.  ;Black out;Elsberg Marc;2015;779;thriller;;;;;
114.  ;Zero;Elsberg Marc;2016;488;thriller;;;;;
113.  ;Helisa;Elsberg Marc;2017;669;thriller;;;;;
116.  ;Niekończąca się historia;Ende Michael;2006;474;fantastyka dziecięca;;;;;
115.  ;Momo;Ende Michael;2006;222;fantastyka dziecięca;;;;;
117.  ;Lassie wróć!;Eric Knight;2003;151;literatura dziecięca;;;;;
118.  ;Klejnot;Ewing Amy;2015;383;fantastyka młodzieżowa;;;;;
119.  ;Klejnot, tom 2, Biała róża;Ewing Amy;2016;318;fantastyka młodzieżowa;;;;;
124.  ;Zwiadowcy, tom 03, Ziemia skuta lodem;Flanagan John;2009;331;fantastyka młodzieżowa;;;;;
125.  ;Zwiadowcy, tom 04, Bitwa o Skandię;Flanagan John;2010;384;fantastyka młodzieżowa;;;;;
126.  ;Zwiadowcy, tom 05, Czarnoksiężnik z północy;Flanagan John;2010;383;fantastyka młodzieżowa;;;;;
127.  ;Zwiadowcy, tom 06, Oblężenie Marcindaw;Flanagan John;2010;392;fantastyka młodzieżowa;;;;;
128.  ;Zwiadowcy, tom 07, Okup za Eraka;Flanagan John;2010;472;fantastyka młodzieżowa;;;;;
122.  ;Zwiadowcy, tom 01, Ruiny Gorlanu;Flanagan John;2011;319;fantastyka młodzieżowa;;;;;
123.  ;Zwiadowcy, tom 02, Płonący most;Flanagan John;2011;302;fantastyka młodzieżowa;;;;;
